song_id,song_name,song_duration,song_popularity,song_added,song_url,album_id,artist_id
0eCajpR75pDW0r64U6hP2x,Jo Tum Mere Ho,251813,82,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/0eCajpR75pDW0r64U6hP2x,0upenH0uUT36nBbVM5mQhW,4gdMJYnopf2nEUcanAwstx
7EFfeGN5U0zm9C6KpOeNBH,"Aaj Ki Raat (From ""Stree 2"")",228620,66,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/7EFfeGN5U0zm9C6KpOeNBH,3UFJUJXBdfDRd2qRZ9ijyn,1mBydYMVBECdDmMfE2sEUO
2TnmSSPkcPdHYYw2Lu84C1,"Aayi Nai (From ""Stree 2"")",178780,63,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/2TnmSSPkcPdHYYw2Lu84C1,2zoS9X4ZOstatr5qrdc2V7,2fMqTqiTxUDlmcOEPaQSsx
1bxzr3JK05fMTcweGAZUHp,"Chuttamalle (From ""Devara Part 1"")",222063,79,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/1bxzr3JK05fMTcweGAZUHp,77bk7awXNSGEQkZTcTp2Gj,19LIHDDSHBD5NyYHI3gpzB
5zCnGtCl5Ac5zlFHXaZmhy,"Sajni (From ""Laapataa Ladies"")",170044,81,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/5zCnGtCl5Ac5zlFHXaZmhy,3I3kZyHUtEA9Y59rJkxtk6,3PpjqSKBer3obW6lDflOBx
1hlbywc8Jhl1FFqJxAMabE,Ishq,224842,71,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/1hlbywc8Jhl1FFqJxAMabE,013jUXOfDFXnDMBetTdsiH,05etL4pzWd6TSv1x5WrlG3
7KB0zREYCrQU3refE5x0M3,"Manasilaayo (From ""Vettaiyan"")",235629,76,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/7KB0zREYCrQU3refE5x0M3,1EWbkJ8zew7sXQnCbKI0Xz,4zCH9qm4R2DADamUHMCa6O
0TL0LFcwIBF5eX7arDIKxY,Husn,217894,78,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/0TL0LFcwIBF5eX7arDIKxY,2SarxpD48O1DOiDIccyZ0W,4gdMJYnopf2nEUcanAwstx
78BWCd70D1X6LMkDZm1UoF,Millionaire,199114,79,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/78BWCd70D1X6LMkDZm1UoF,5KF4xCxDD8ip003hoatFT9,7uIbLdzzSEqnX0Pkrb56cR
1WaqQIJ0iENGWZ1QmYvYNK,"Tauba Tauba (From ""Bad Newz"")",207157,69,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/1WaqQIJ0iENGWZ1QmYvYNK,0MUqt34IuJsdFAuQM57jKp,6DARBhWbfcS9E4yJzcliqQ
6BGZePfo75ysi4IR2jlFR0,Tumhare Hi Rahenge Hum,230086,57,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/6BGZePfo75ysi4IR2jlFR0,4Rkpg1IvjxuGhvcfceIfVW,4gzrZDyL5gYiROkv27pYKx
4Zx4I7eX7vuq7pHleVcINy,"Khoobsurat (From ""Stree 2"")",244583,59,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/4Zx4I7eX7vuq7pHleVcINy,6YuaX9U59YS0P7Jcel6BA6,5wJ1H6ud777odtZl5gG507
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",284779,77,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,3I8PdIhk6pNm8Kv0HiF14V,4YRxDV8wJFPHPTeXepOstw
0xpeiTGSEchBhqrjDuIcSS,"Angu Vaana Konilu - From ""ARM""",249000,71,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/0xpeiTGSEchBhqrjDuIcSS,5lM0AnBxOAUfK5TrBstfzp,1QHr8p3h0ayWLaaYK0X6bi
0YQJoDL6f46J0n1rOVkpxJ,Softly,155161,77,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/0YQJoDL6f46J0n1rOVkpxJ,3BGU0BqGwBkYDHpfCWFm7I,6DARBhWbfcS9E4yJzcliqQ
5thVzD79BxlDTYy0LfHzvu,Zaroor,175448,76,2024-09-30 12:13:55+00:00,https://open.spotify.com/track/5thVzD79BxlDTYy0LfHzvu,62yJN1YiKoDvXSrSdiXC13,2UWTNi6LLK5lXNGzFWzIqT
