album_id,album_name,release_date,album_url,album_tracks
0upenH0uUT36nBbVM5mQhW,Jo Tum Mere Ho,2024-08-02,https://open.spotify.com/album/0upenH0uUT36nBbVM5mQhW,1
2P2orRpVU0F2Z1HGTi7AiS,"Aaj Ki Raat (From ""Stree 2"")",2024-07-24,https://open.spotify.com/album/2P2orRpVU0F2Z1HGTi7AiS,1
5KF4xCxDD8ip003hoatFT9,GLORY,2024-08-26,https://open.spotify.com/album/5KF4xCxDD8ip003hoatFT9,18
77bk7awXNSGEQkZTcTp2Gj,"Chuttamalle (From ""Devara Part 1"")",2024-08-05,https://open.spotify.com/album/77bk7awXNSGEQkZTcTp2Gj,1
7tCxLHdbch1AEkuv2EbLQc,"Aayi Nai (From ""Stree 2"")",2024-08-01,https://open.spotify.com/album/7tCxLHdbch1AEkuv2EbLQc,1
013jUXOfDFXnDMBetTdsiH,Lost;Found,2024-05-25,https://open.spotify.com/album/013jUXOfDFXnDMBetTdsiH,14
3I3kZyHUtEA9Y59rJkxtk6,"Sajni (From ""Laapataa Ladies"")",2024-02-12,https://open.spotify.com/album/3I3kZyHUtEA9Y59rJkxtk6,1
1EWbkJ8zew7sXQnCbKI0Xz,"Manasilaayo - From ""Vettaiyan""",2024-09-09,https://open.spotify.com/album/1EWbkJ8zew7sXQnCbKI0Xz,1
2SarxpD48O1DOiDIccyZ0W,Husn,2023-12-01,https://open.spotify.com/album/2SarxpD48O1DOiDIccyZ0W,1
6UcsRs6FeuyafHupizqJDJ,"Tumhare Hi Rahenge Hum (From ""Stree 2"")",2024-08-06,https://open.spotify.com/album/6UcsRs6FeuyafHupizqJDJ,1
3BGU0BqGwBkYDHpfCWFm7I,Making Memories,2023-08-18,https://open.spotify.com/album/3BGU0BqGwBkYDHpfCWFm7I,9
7w3sjjjgPbpSiSq1aSLABB,"Khoobsurat (From ""Stree 2"")",2024-08-09,https://open.spotify.com/album/7w3sjjjgPbpSiSq1aSLABB,1
1pw0xzpe4O0OMohBwau50L,Bhediya (Original Motion Picture Soundtrack),2022-12-06,https://open.spotify.com/album/1pw0xzpe4O0OMohBwau50L,5
3I8PdIhk6pNm8Kv0HiF14V,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019-05-31,https://open.spotify.com/album/3I8PdIhk6pNm8Kv0HiF14V,1
4OYdTHNgjhXzgVjbqsb0tO,Jab We Met,2007-09-21,https://open.spotify.com/album/4OYdTHNgjhXzgVjbqsb0tO,10
6bqZS60eLo3NhEQDtuUGaW,Bad Newz,2024-07-17,https://open.spotify.com/album/6bqZS60eLo3NhEQDtuUGaW,8
4mGz0G0d2mqGmaFc67MEEm,"Naina (From ""Crew"")",2024-03-05,https://open.spotify.com/album/4mGz0G0d2mqGmaFc67MEEm,1
0wkGNaTXbbxaD9QjvxlNGE,G.O.A.T.,2020-07-29,https://open.spotify.com/album/0wkGNaTXbbxaD9QjvxlNGE,16
5lM0AnBxOAUfK5TrBstfzp,"Angu Vaana Konilu - From ""ARM""",2024-09-14,https://open.spotify.com/album/5lM0AnBxOAUfK5TrBstfzp,1
2R2iYcw81Fjfup0kUZtlf6,Maharaj,2024-06-24,https://open.spotify.com/album/2R2iYcw81Fjfup0kUZtlf6,7
5mZX4EMwEyohNmVfLTDtXn,"Satranga (From ""ANIMAL"")",2023-10-27,https://open.spotify.com/album/5mZX4EMwEyohNmVfLTDtXn,1
62yJN1YiKoDvXSrSdiXC13,Zaroor,2024-05-28,https://open.spotify.com/album/62yJN1YiKoDvXSrSdiXC13,1
0a183xiCHiC1GQd8ou7WXO,ANIMAL,2023-11-24,https://open.spotify.com/album/0a183xiCHiC1GQd8ou7WXO,8
2LeZ6oWQed5ewVUpyGJKDh,Baarishein,2018-01-12,https://open.spotify.com/album/2LeZ6oWQed5ewVUpyGJKDh,1
